,links,titles,text,date,time
0,https://truecrimedaily.com/2022/10/28/philadelphia-former-sheriff-samir-ahmad-accused-selling-guns-used-roxborough-scrimmage-shooting/,"Former Philly deputy accused of selling guns, including one used in deadly high school shooting","'PHILADELPHIA (TCD) -- A 29-year-old man faces federal charges after he allegedly sold guns, including one that was used in a fatal high school shooting, while employed as a law enforcement official.', ""In a statement, the U.S. Attorney's Office for the Eastern District of Pennsylvania announced Samir Ahmad was charged with firearms trafficking and selling firearms to a person unlawfully in the United States. He reportedly worked at the Philadelphia Sheriff's Office as a deputy when the sales allegedly occurred."", 'Ahmad allegedly sold a confidential informant two semi-automatic pistols and ammunition. The informant reportedly told Ahmad he was not in the U.S. legally and worried he could ""get deported"" if he got caught.', 'Ahmad allegedly told the man, ""You don\'t got to worry about none of that.""', 'He reportedly made $3,000 as a result of the sale.', ""The Philadelphia Sheriff's Office terminated Ahmad's employment Oct. 19, and he was taken into custody by federal agents."", 'According to a statement from the Sheriff\'s Office, Ahmad was hired in February 2018 ""under a previous administration.""', 'One of the guns Ahmad allegedly sold was reportedly used in a shooting that killed 14-year-old Nicholas Elizalde on Sept. 27 as he and a group of other students were walking after a football scrimmage. Philadelphia Police said at the time the suspects ""ambushed"" the group of students. Four students were injured.', ""The U.S. Attorney's Office says Ahmad could face up to 15 years in prison if he is convicted."", 'MORE:', ""Former Philadelphia Sheriff’s Deputy Arrested and Charged With Trafficking Firearms - U.S. Attorney's Office for the Eastern District of Pennsylvania14-year-old student killed, 4 injured in shooting after Philadelphia high school football scrimmage, 9/28/2022 - TCD"", 'TRUE CRIME DAILY: THE PODCAST covers high-profile and under-the-radar cases every week. Subscribe to our YouTube page for podcasts, exclusive videos, and more, and don’t forget to follow us on TikTok.', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",10/28/2022,2:38 pm
1,https://truecrimedaily.com/2022/09/29/3-arrested-rapper-pnb-rock-los-angeles-california-father-son-freddie-lee-trone-shauntel-trone/,Stepmother-father-son trio charged for rap artist PnB Rock’s murder,"'LOS ANGELES (TCD) -- A stepmother-son duo has been arrested while the father remains at large in connection with the fatal shooting of rapper PnB Rock at a restaurant earlier this month.', 'According to a news release from the Los Angeles County District Attorney’s Office, on Sept. 12, 30-year-old Rakim Allen, also known as PnB Rock, was dining at the Roscoe’s House of Chicken &amp; Waffles when he was fatally shot during a robbery. He was dining with his girlfriend at the time.', 'After shooting the rapper, a suspect stole his valuables and fled the scene in a waiting car. The rapper was transported to a hospital and later died at 1:59 p.m.', 'On Sept. 29, Los Angeles County District Attorney George Gascón announced that three suspects have been identified and face charges, including 40-year-old Freddie Lee Trone for one count of murder and conspiracy to commit robbery and two counts of second-degree robbery; 38-year-old Shauntel Trone for one count of accessory after the fact; and a 17-year-old for one count of murder and one count of conspiracy to commit robbery. The teen also reportedly faces two counts of second-degree robbery.', 'The minor and his stepmother, Shauntel Trone, have been arrested, KABC-TV reports. The stepmother was reportedly scheduled to be arraigned on Sept. 29, and the minor is scheduled to appear in court next on Oct. 19 for a pretrial hearing.', 'According to the D.A.’s Office, Freddie Lee Trone has fled and has not yet been arrested.', 'PnB Rock rose to fame and collaborated with YFN Lucci for ""Everyday We Lit,"" which came out in 2016 and hit number 33 on the Billboard Hot 100. He also worked with other famous artists and musicians, like Ed Sheeran and Chance the Rapper.', 'Before the fatal shooting, PnB Rock spoke about robberies in Los Angeles in a podcast episode of ""Off the Record with DJ Akademiks."" Someone reportedly tried to rob the rapper while he was out with his girlfriend and daughter on Fairfax Avenue. He also spoke about how he believes robbers are targeting rappers in Los Angeles.', 'In a statement, Gascón said ""The murder of Mr. Allen dimmed a bright light in the lives of his fans, friends and most importantly his family.""', 'Gascón continued, ""The accused individuals’ alleged actions in this case were heartless and cruel and robbed the world of Mr. Allen’s talents.""', 'MORE:', 'Trio Charged in Murder of Rakim Allen, Also Known As Rap Artist PnB Rock - Los Angeles County District Attorney’s OfficeTeen boy and stepmother arrested, father sought in slaying of rapper PnB Rock at South LA restaurant - KABCPhiladelphia rapper PnB Rock fatally shot while dining in L.A. restaurant with girlfriend, 9/13/22 - TCD', 'TRUE CRIME DAILY: THE PODCAST covers high-profile and under-the-radar cases every week. Subscribe to our YouTube page for podcasts, exclusive videos, and more, and don’t forget to follow us on TikTok.', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",09/29/2022,3:01 pm
2,https://truecrimedaily.com/2022/09/28/philadelphia-football-scrimmage-shooting-roxborough-northeast-boys-latin-high-school-student-killed-injured/,"14-year-old student killed, 4 injured in shooting after Philadelphia high school football scrimmage","'PHILADELPHIA (TCD) -- Police are looking for several people suspected of opening fire on a group of high school students who had just finished a football scrimmage.', 'According to Philadelphia Police Capt. Jason Smith, on Tuesday, Sept. 27, at around 4:41 p.m., officers responded to the area near Roxborough High School and Pechin Street for reports of a shooting. When they arrived, they found four victims on the sidewalk and a fifth located nearby.', 'All five were transported to nearby hospitals, but a 14-year-old who was shot in the chest was pronounced dead at the scene at 5:09 p.m. The other four were treated and listed in stable condition.', 'WPVI-TV identified the victim as Nicholas Elizalde, who was a student at Saul High School, while the other four attended Roxborough High School.', 'According to the Philadelphia Inquirer, detectives believe at least one of the victims may have been targeted, but Elizalde was ""a totally innocent victim.""', 'Philadelphia Police said a group of students were walking northbound on Pechin Street following a football game with Roxborough High School, Northeast High School, and Boys’ Latin Charter School. As they made their way up the street, the suspects allegedly ""ambushed"" the students and opened fire.', 'Wanted: Suspects for Homicide in the 5th District UPDATED REWARD https://t.co/xLSrioR9mu pic.twitter.com/dz16Q8drNt', 'Surveillance footage shared by the department shows five suspects getting out of a light-colored SUV and opening fire. Four suspects reportedly ran back to the car, while another chased one of the victims down the street. The shooter reportedly stood over that victim and tried to shoot him, but he ran out of bullets. Elizalde suffered a fatal gunshot wound to the chest.', 'Police said they recovered 64 shell casings from the scene. There is a $40,000 reward for anyone providing information leading to the arrest of the suspects.', 'The victims ranged in age from 14 to 17 years old.', 'School District of Philadelphia Superintendent Dr. Tony Watlington Sr. said in a statement, ""The School District of Philadelphia is heartbroken and angered by the shooting today outside of Roxborough High School, which tragically impacted five youth and tragically took the life of one. Our thoughts and prayers are with the families, friends and school communities of all of the students that have been impacted by this horrific incident.""', 'MORE:', 'Wanted: Suspects for Homicide in the 5th District - Philadelphia Police DepartmentHomicide 4700 Pechin St \xa0- Philadelphia Police Department5 Students Shot, 1 Killed, at Roxborough High School Football Scrimmage - NBC PhiladelphiaSchool officials respond after deadly ambush shooting near Roxborough High School - WPVIAt least one teen victim was targeted in shooting at Roxborough High School; Philly officials looking for five suspects - Philadelphia Inquirer5 teen football players shot after ambush near Roxborough High School in Philadelphia; 1 dead - WPVI', 'TRUE CRIME DAILY: THE PODCAST covers high-profile and under-the-radar cases every week. Subscribe to our YouTube page for podcasts, exclusive videos, and more, and don’t forget to follow us on TikTok.', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",09/28/2022,12:48 pm
3,https://truecrimedaily.com/2022/09/13/philadelphia-rapper-pnb-rock-fatally-shot-in-los-angeles-restaurant-california-rakim-hasheem-allen/,Philadelphia rapper PnB Rock fatally shot while dining in L.A. restaurant with girlfriend,"'LOS ANGELES (TCD) -- Philadelphia rapper PnB Rock, who became popular for his songs ""Selfish"" in 2016 and ""Fleek"" in 2015, was fatally shot at the Roscoe’s House of Chicken &amp; Waffles during a robbery earlier this week.', 'The death of the 30-year-old rapper, whose real name was Rakim Allen, was confirmed by Atlantic Records in an Instagram post. The company said, ""PnB Rock was more than an artist. To many, Rakim Allen was a great friend. He was also a wonderful father to two beautiful little girls.""', 'According to the Los Angeles Times, on Monday, Sept. 12, the rapper and his girlfriend were eating at Roscoe’s House of Chicken &amp; Waffles on Main Street and Manchester Avenue when the shooting took place at around 1:15 p.m. Los Angeles Police Capt. Kelly Muniz told the Los Angeles Times that a suspect revealed his firearm to PnB Rock and allegedly tried to rob the rapper of his jewelry.', 'According to KTLA-TV, the robber and PnB Rock began to argue before the suspect reportedly shot him multiple times, stole his valuables, and fled the scene in a waiting car. The rapper was transported to a hospital and later died at 1:59 p.m., KTLA reports.', 'No one else in the restaurant was hurt in the shooting.', 'Roscoe’s House of Chicken &amp; Waffles released a statement on Instagram that said, ""We are deeply saddened by the death of Rakim Hasheem Allen, (also known as PnB Rock), an incredible artist in Los Angeles and everywhere. His passing represents an enormous loss to each and every one of us. Our most heartfelt condolences, thoughts, and prayers go to the Allen family at this difficult time.""', 'Police have yet to identify any suspects, but they are reportedly reviewing surveillance video from the area. According to KTLA, police believe the suspect was able to find the rapper because his girlfriend posted an Instagram photo of the two at the famous restaurant, tagging the location.', 'PnB Rock reportedly collaborated with YFN Lucci for ""Everyday We Lit,"" which came out in 2016 and hit number 33 on the Billboard Hot 100. He also worked with other famous artists and musicians, like Ed Sheeran and Chance the Rapper, KTLA reports.', 'According to the Los Angeles Times, before the fatal shooting, PnB Rock spoke about robberies in Los Angeles in a podcast episode of ""Off the Record with DJ Akademiks."" Someone reportedly tried to rob the rapper while he was out with his girlfriend and daughter on Fairfax Avenue. He also spoke about how he believes robbers are targeting rappers in Los Angeles, the Los Angeles Times reports.', 'MORE:', 'Death Announcement, Instagram - Atlantic RecordsRapper PnB Rock fatally shot during robbery at Roscoe’s; police seek gunman - Los Angeles TimesStatement, Instagram - Roscoes House of Chicken &amp; WafflesPnB Rock Killing: Everything we know so far - KTLA', 'TRUE CRIME DAILY: THE PODCAST covers high-profile and under-the-radar cases every week. Subscribe to our YouTube page for podcasts, exclusive videos, and more, and don’t forget to follow us on TikTok.', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",09/13/2022,12:50 pm
4,https://truecrimedaily.com/2022/09/02/ohio-teen-father-arrested-1-year-old-child-dies-left-in-hot-car-landon-parrot/,"Ohio teen father accused of deliberately leaving 1-year-old son in hot car, killing him","'NEW PHILADELPHIA, Ohio (TCD) -- A 19-year-old father was arrested and charged after his 1-year-old child allegedly died from being left in a car unattended for too long.', 'According to a news release from the New Philadelphia Police Department, on Sept. 1 at approximately 2 p.m., police learned that an unresponsive 1-year-old child was transported to the ER by his father.', ""Police said the father, Landon Parrot, provided inconsistent information surrounding the child's condition. Upon further investigation, Parrot reportedly admitted what had happened to his son."", 'According to police, the child was left unattended in a vehicle for around five hours. The temperature outside was reportedly 87 degrees at the time.', 'In their news release, police said ""this was not a matter of forgetting the child but was a deliberate act so as the child would not be a disturbance while in the house.""', 'Parrot was arrested and charged with murder, two counts of endangering children, and involuntary manslaughter, records show. He remains held in the Tuscarawas County Jail on $250,000 bond, according to police.', 'MORE:', 'News Release - New Philadelphia Police DepartmentTuscarawas County Jail Records', 'TRUE CRIME DAILY: THE PODCAST covers high-profile and under-the-radar cases every week. Subscribe to our YouTube page for podcasts, exclusive videos, and more, and don’t forget to follow us on TikTok.', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",09/02/2022,2:04 pm
5,https://truecrimedaily.com/2022/08/12/gloucester-county-new-jersey-loretta-barr-accused-killing-mother-with-broom/,N.J. woman accused of beating her mother to death with a broom,"'WASHINGTON TOWNSHIP, N.J. (TCD) -- A 65-year-old woman faces several charges after she allegedly killed her mother by beating her with a broomstick.', 'Salem County Jail records show Loretta Barr is in custody on suspicion of aggravated manslaughter, unlawful possession of a weapon, and aggravated assault causing serious bodily injury.', 'According to court documents cited by NJ.com, on Aug. 6, Barr allegedly got into an argument with her mother, Florence Dicriscio. Washington Township Police reportedly responded to their residence on Woodmont Circle for a domestic dispute because Barr allegedly grabbed her mom and then fell on top of her. Dicriscio allegedly told police Barr hit her ""several times on her side and head"" with the broomstick.', 'Police reportedly noted Dicriscio ""showed signs of injury to both arms."" She was taken to Jefferson Washington Township Hospital where emergency room doctors reportedly said Dicriscio suffered broken ribs, a brain bleed, and compacted vertebrae. Dicriscio was reportedly transported to a hospital in Philadelphia, where she died. The Grasso Funeral Home reports she passed away Aug. 9.', 'WTXF-TV reports the autopsy determined Dicriscio suffered blunt force trauma to the head and body, and her death was ruled a homicide.', 'Barr is being held without bond.', 'MORE:', 'Salem County Jail inmate informationN.J. woman beat her 80-year-old mom to death with a broomstick, cops say - NJ.comGloucester County officials charge 65-year-old woman in the death of her 80-year-old mother - WTXFGrasso Funeral Home Facebook', 'TRUE CRIME DAILY: THE PODCAST covers high-profile and under-the-radar cases every week. Subscribe to our YouTube page for podcasts, exclusive videos, and more, and don’t forget to follow us on TikTok.', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",08/12/2022,11:33 am
6,https://truecrimedaily.com/2022/08/01/new-jersey-heather-reynolds-convicted-killing-son-axel-suffocating-cleaning-wipe-acquitted-murder-for-hire/,N.J. mom convicted of killing 17-month-old son by suffocating him with cleaning wipe,"'CAMDEN COUNTY, N.J. (TCD) -- A 44-year-old woman was convicted last week of killing her young son but was then acquitted on a charge of murder-for-hire.', 'In a July 28 statement, the Camden County Prosecutor’s Office announced a jury found Heather Reynolds guilty of first-degree murder, possession of methamphetamine, and endangering the welfare of a child for the death of her 17-month-old son, Axel.', 'The Philadelphia Inquirer reports the jury decided Reynolds was not guilty of allegedly plotting with her boyfriend at the time to kill her ex-boyfriend.', 'According to Gloucester Township Police, on May 10, 2018, officers responded to a residence on Marcia Court for a report of an unresponsive child on a lawn, and he was later pronounced deceased. The Gloucester/Camden/Salem Medical Examiner’s Office reportedly determined the child died of asphyxia and his manner of death was homicide.', 'NJ.com reports EMS officials noticed that Axel smelled like alcohol, and the medical examiner said he died when ""a wipe containing isopropyl alcohol and detergent was placed over the mouth and nose.""', ""Reynolds' then-boyfriend, Jeffrey Callahan, was also arrested at the time, the Prosecutor’s Office said."", 'The Philadelphia Inquirer reports Reynolds held a cleaning wipe over Axel’s face and suffocated him until he died. Prosecutors reportedly argued during the trial that Reynolds wanted to kill her son because she was having an affair and her son was getting in the way. She and Callahan allegedly plotted together to kill her ex-boyfriend, Domenic Caruso, because Caruso allegedly spoke to police about Axel’s death.', 'According to NJ.com, a witness reportedly came forward and said Reynolds ""expressed the sentiment"" that Axel was ""an obstacle to her relationship with her boyfriend.""', ""Reynolds' attorneys, however, said Callahan killed Axel, not the other way around. They argued Reynolds performed CPR on her son and tried to revive him."", 'Callahan reportedly pleaded guilty to witness tampering in an agreement that prosecutors would drop the charge of conspiracy to commit murder.', 'Reynolds will be sentenced in October.', 'MORE:', ""Jury Convicts Heather Reynolds of Murder in Death of Her 17-Month-Old Son - Camden County Prosecutor's OfficeGloucester Township Woman Indicted and Arrested in Death of Son, 6/13/2019 - Camden County Prosecutor's OfficeCamden County woman convicted of killing her 17-month-old son and acquitted of plotting to kill her ex-boyfriend - Philadelphia InquirerMom on meth suffocated her toddler because he was getting in the way of affair, prosecutor says, 6/26/2019 - NJ.com"", 'TRUE CRIME DAILY: THE PODCAST covers high-profile and under-the-radar cases every week. Subscribe to our YouTube page for podcasts, exclusive videos, and more.', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",08/01/2022,1:21 pm
7,https://truecrimedaily.com/2022/07/14/philadelphia-traffic-cone-beating-death-james-lambert-14-year-old-charged-murder/,14-year-old girl charged in traffic cone beating death of 73-year-old Philadelphia man,"'PHILADELPHIA (TCD) --\xa0A 14-year-old girl reportedly turned herself in to authorities this week for her alleged involvement in the beating death of a 73-year-old man last month.', 'According to NBC Philadelphia, a 13-year-old girl and the 14-year-old both surrendered to Philadelphia Police on Wednesday, July 13, but the 13-year-old was later released. The 14-year-old, however, was charged with third-degree murder in the death of 73-year-old James Lambert. He was reportedly beaten several times with a traffic cone.', 'Earlier in the week, a 14-year-old boy and his 10-year-old brother also surrendered to Philadelphia Police for their alleged participation in the same incident.\xa0NBC Philadelphia reports\xa0the 14-year-old has been charged with murder, but the 10-year-old was released.', 'According to Philadelphia Police,\xa0four juvenile males and three juvenile females allegedly attacked Lambert on Friday, June 24, at 2:38 a.m. on the 2100 block of Cecil B. Moore Avenue. The suspects allegedly ""struck the victim several times with objects, knocking the victim to the ground causing injuries to his head.""', 'Lambert was reportedly transported to a nearby hospital, where he died from his wounds the following day.', 'MORE:', 'Girl, 14, Is 2nd Young Person Charged With Murder in Traffic Cone Beating Death - NBC PhiladelphiaBoy, 14, Charged With Murder in Deadly Philly Traffic Cone Beating - NBC PhiladelphiaWanted: Suspects for Homicide in the 22nd District - Philadelphia Police Department', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",07/14/2022,1:35 pm
8,https://truecrimedaily.com/2022/06/20/pennsylvania-jade-babcock-sentenced-killing-dismembering-brenda-jacobs-hiding-body/,"Pennsylvania man sentenced for killing and dismembering girlfriend, hiding her body for 16 years","'WILLIAMSPORT, Pa. (TCD) --\xa0A 52-year-old man will spend 15 to 30 years in prison for killing his girlfriend in 2003 and concealing her body for several years.', 'Penn Live reports\xa0Jade Babcock pleaded guilty to third-degree murder on Thursday, June 16, and Senior Judge Kenneth D. Brown sentenced him immediately after the plea.\xa0WBRE-TV reports\xa0Babcock initially faced charges of criminal homicide, obstruction, abuse of a corpse, and tampering with evidence.', 'According to the criminal complaint, Babcock was taken into custody Sept. 23, 2019, for the death of Brenda Jacobs many years prior.', ""Jacobs' sister reported her missing to Pennsylvania State Police on March 21, 2013, and said her family had not heard from her since December 2003. State police began an investigation into her disappearance and learned her family believed she was dead. While speaking with family, investigators learned Jacobs' parents kicked her out of the house because she was using drugs and alcohol, so she moved in with Babcock."", 'On May 11, 2019, the Williamsport Bureau of Police responded to a call about a severed leg found on the bank of the west branch of the Susquehanna River. According to the criminal complaint, police soon found the other leg. Both had been cut below the knee, and the pathologist determined the legs ""had been kept away from weather, scavengers, and insects.""', 'Months later, in September 2019, Pennsylvania State Police received information that led them to believe Jacobs\' body was in a storage unit in Philadelphia. One of Babcock’s estranged girlfriends reportedly told investigators she saw Jacobs\' body in a coal bin. She reportedly said Babcock ""removed the body from that coal bin, placed it into a wooden box, and moved the box into a storage unit in Philadelphia.""', 'The body reportedly needed to be moved because the property was being sold.', ""Investigators obtained a search warrant for Babcock’s storage unit and discovered Jacobs' mummified remains."", 'The criminal complaint says Babcock told detectives he and Jacobs were both drunk and got into an argument. He called her death an ""accident.""', 'Babcock reportedly kept his girlfriend’s body in his closet for ""several months"" before moving it to the coal bin. Babcock said he severed Jacobs\' legs before moving her body into the wooden box to take to storage in order for her to fit inside.', 'According to Penn Live, Jacobs suffered a subdural hematoma when she died.', 'MORE:', 'Pa. man sentenced for killing girlfriend and concealing the body for 16 years - Penn LiveMan charged with murder of girlfriend, sentenced to 15-30 years - WBRECommonwealth of Pennsylvania v. Jade Babcock', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",06/20/2022,1:14 pm
9,https://truecrimedaily.com/2022/06/17/philadelphia-door-dash-driver-accused-shooting-chick-fil-a-worker-milkshake/,DoorDash driver accused of shooting Chick-fil-A worker following milkshake argument,"'PHILADELPHIA (TCD) --\xa0A 26-year-old delivery driver was arrested for allegedly shooting a teen fast food worker after accusing him of leaving out a milkshake.', 'According to NBC Philadelphia, on Monday, June 13, at around 8:30 p.m., the suspect, Tyquan Austin, went to the Chick-fil-A on the 800 block of Adams Avenue to pick up an order. An employee brought the takeout order to Austin, who then allegedly started arguing with him and demanded to know about a second milkshake he claimed was supposed to be in the order. The employee reportedly told Austin the receipt listed only one milkshake and Austin continued to argue.', 'WPVI-TV reports\xa0Philadelphia Police Captain John Walker said in a press conference the Chick-fil-A employee ""asks to see the receipt and the occupant of the car refuses to show the receipt. He then sees the driver of the vehicle pull out a gun and put it on his lap.""', 'The employee’s team leader went up to Austin and asked what was wrong, and Austin allegedly complained about the milkshake. The store’s manager also came outside to deal with the situation.', 'According to WTXF-TV,\xa0Austin allegedly got in his car, circled the location and then opened fire, aiming at the entrance of the restaurant. The 17-year-old was struck in the leg.', 'The Philadelphia District Attorney’s Office reportedly noted in a statement, ""The shooting was unprovoked and endangered multiple people beyond the shooting victim, who was wounded in the leg and is expected to recover.""', 'Police located the car on the 4000 block of Glendale Street and found 40-caliber magazines,\xa0CBS Philadelphia reports. Austin reportedly did not have a permit to carry the firearm.', 'DoorDash said in a statement, ""We are horrified and appalled by this brazen act of violence and have banned the perpetrator from our platform. We are fully supporting law enforcement with their investigation and hope justice is served. We’ve reached out to the victim to offer our support, and our thoughts are with him and his family as he recovers.""', 'CBS Philadelphia reports Austin has been charged with aggravated assault, possession of an instrument of crime, simple assault, and reckless endangerment.', 'MORE:', 'Delivery Driver Who Allegedly Shot Chick-fil-A Worker Identified - NBC PhiladelphiaDoorDash driver identified, charged following shooting at Philadelphia Chick-fil-A - WPVIDoorDash delivery driver charged for shooting teenage Chick-fil-A employee in Crescentville - WTXFPhiladelphia Police Arrest Delivery Driver Accused Of Shooting Teen Chick-Fil-A Employee Over Missing Milkshake - CBS PhiladelphiaAuthorities Charge Delivery Driver, Tyquan Austin, In Shooting Of Teenage Chick-Fil-A Employee - CBS Philadelphia', 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",06/17/2022,12:26 pm
10,https://truecrimedaily.com/2022/06/06/rashid-young-boyfriend-keshaun-sheffield-charged-murder-pottstown-pennsylvania/,Boyfriend charged with murder 3 years after trust fund heir found dead in arboretum,"'MONTGOMERY COUNTY, Pa. (TCD) --\xa0A 20-year-old man faces several criminal charges nearly three years after his boyfriend was found dead in his Pottstown apartment.', 'On June 1, the\xa0Montgomery County District Attorney’s Office announced\xa0Keshaun Sheffield was arrested for the Aug. 19, 2019, death of Rashid Young. Sheffield has been charged with first-degree murder, third-degree murder, theft by unlawful taking/disposition, receiving stolen property, possessing an instrument of crime, and access device fraud.', 'According to the District Attorney’s Office, human remains were found Sept. 30, 2019, at Awbury Arboretum in Philadelphia, and remained unidentified until only recently.', 'Young’s family reportedly hired a private investigator to look into his disappearance. They reported him missing in December 2019 to Pottstown Police, but the investigator reportedly urged the Montgomery County Detectives to look into the case.', 'Officials reportedly accessed cellphone records and used an informant to uncover Sheffield and Young reportedly had a romantic relationship for approximately two years.', 'Detectives suspect Sheffield stabbed Young in his apartment. At the time of his disappearance, Pottstown Police reportedly went to Young’s apartment for reports of water coming out of the unit and discovered it had been ""intentionally flooded.""', 'According to the statement, Young’s apartment had ""holes in walls, broken doors and trash strewn throughout.""', 'The District Attorney’s Office alleges Sheffield used a recycling bin to move Young’s body to his mother’s house, then transported his remains to the arboretum. Sheffield allegedly used Young’s social media accounts and cellphone to speak with Young’s family and ""keep up the appearance that Young was still alive from August to December 2019.""', 'Additionally, Sheffield allegedly took money out of Young’s $2 million trust fund account, which was frozen when his family reported him missing.', 'Sheffield is being held without bail.', 'MORE:', ""Keshaun Sheffield Arrested for August 2019 Murder of Romantic Partner Rashid Young - Montgomery County District Attorney's Office"", 'Waiting for your permission to load facebook comments.', 'Sign up to receive breaking True Crime Daily news, exclusive stories and behind-the-scenes info.', '© 2022 Telepictures Productions Inc. In partnership with          Warner Bros. Entertainment |          Privacy Policy |          Terms of Use |          Ad Choices'",06/06/2022,1:11 pm
