,text,created_at,user,likes,retweets,links
0,Wanted: Suspects for Robbery in the 22nd District [VIDEO] https://t.co/ys2L7qty1R https://t.co/VWyOgRMsYo,2022-11-23 18:43:20+00:00,PhillyPolice,1,6,https://t.co/ys2L7qty1Rhttps://t.co/VWyOgRMsYo
1,Wanted: Suspect for Residential Burglary in the 22nd District [VIDEO] https://t.co/fMpPr9ASqW https://t.co/Bb5GYCOVPc,2022-11-23 16:33:26+00:00,PhillyPolice,2,2,https://t.co/fMpPr9ASqWhttps://t.co/Bb5GYCOVPc
2,RT @PPDFrankVanore: @phillypolice has received approval to charge a 23yo male in 2 of the residential home invasion robberies in the 22nd D…,2022-11-23 12:28:33+00:00,PhillyPolice,0,17,
3,Wanted: Suspects for Multiple Commercial Burglaries in the 12th and 18th Districts [VIDEO] https://t.co/upJXKbcg0c https://t.co/XVn01wXcR0,2022-11-23 12:03:19+00:00,PhillyPolice,7,3,https://t.co/upJXKbcg0chttps://t.co/XVn01wXcR0
4,Wanted: Suspects for Commercial Robbery in the 12th District [VIDEO] https://t.co/qniWYHb9iO https://t.co/iXMDL5QpCQ,2022-11-22 18:02:24+00:00,PhillyPolice,10,7,https://t.co/qniWYHb9iOhttps://t.co/iXMDL5QpCQ
5,Wanted: Suspect for Robbery in the 6th District [VIDEO] https://t.co/CjE7r9QyNn https://t.co/V2uXOxlRj7,2022-11-22 17:46:22+00:00,PhillyPolice,9,13,https://t.co/CjE7r9QyNnhttps://t.co/V2uXOxlRj7
6,Wanted: Suspects for Home Invasion/Robbery in the 22nd District [VIDEO] https://t.co/qxcihouK7I https://t.co/KGc8FjpNCc,2022-11-22 12:44:46+00:00,PhillyPolice,16,17,https://t.co/qxcihouK7Ihttps://t.co/KGc8FjpNCc
7,Wanted: Suspect for Shooting in the 19th District [VIDEO] https://t.co/bGzcCY25OX https://t.co/Fd11zqb4GL,2022-11-22 12:03:12+00:00,PhillyPolice,15,21,https://t.co/bGzcCY25OXhttps://t.co/Fd11zqb4GL
8,Wanted: Suspect for Commercial Burglary in the 14th District [VIDEO] https://t.co/ksyzEaPmzI https://t.co/DAaPnyQh39,2022-11-22 11:44:52+00:00,PhillyPolice,9,6,https://t.co/ksyzEaPmzIhttps://t.co/DAaPnyQh39
9,Wanted: Suspects for Homicide in the 22nd District [VIDEO] https://t.co/3w9xzd9raA https://t.co/LfT0A3BaL2,2022-11-19 21:22:32+00:00,PhillyPolice,50,41,https://t.co/3w9xzd9raAhttps://t.co/LfT0A3BaL2
10,Wanted: Suspect(s) for Homicide of an On-Duty City Sanitation Worker in the 15th District [VIDEO] https://t.co/wXBfTmGNfX https://t.co/IkkgaBnpyO,2022-11-19 21:18:30+00:00,PhillyPolice,21,18,https://t.co/wXBfTmGNfXhttps://t.co/IkkgaBnpyO
11,Wanted: Suspects for Robbery/Carjacking in the 26th District [VIDEO] https://t.co/r2gmqZz32l https://t.co/ynWu7Oimdf,2022-11-18 15:04:52+00:00,PhillyPolice,22,17,https://t.co/r2gmqZz32lhttps://t.co/ynWu7Oimdf
12,Wanted: Suspects for Multiple Robberies in the 26th District [VIDEO] https://t.co/SXN3yGWrI4 https://t.co/UphcXqFZJq,2022-11-18 14:18:59+00:00,PhillyPolice,31,27,https://t.co/SXN3yGWrI4https://t.co/UphcXqFZJq
13,Wanted: Suspects for Shooting Incident in the 25th District [VIDEO] https://t.co/LedUfEmI8d https://t.co/L4z44A7Zts,2022-11-18 12:17:46+00:00,PhillyPolice,8,11,https://t.co/LedUfEmI8dhttps://t.co/L4z44A7Zts
14,Wanted: Suspect for Homicide in the 14th District [VIDEO] https://t.co/2bdCjkNANe https://t.co/DJ704ftiq7,2022-11-18 11:58:48+00:00,PhillyPolice,15,17,https://t.co/2bdCjkNANehttps://t.co/DJ704ftiq7
15,Wanted: Suspects for Commercial Robbery in the 35th District [VIDEO] https://t.co/S5ZrQLmTlH https://t.co/yrnByDBEQd,2022-11-18 11:37:27+00:00,PhillyPolice,11,8,https://t.co/S5ZrQLmTlHhttps://t.co/yrnByDBEQd
16,Wanted: Suspect for Commercial Robbery in the 1st District [VIDEO] https://t.co/ZZFTCuZHE4 https://t.co/juEwQDipvu,2022-11-17 18:50:26+00:00,PhillyPolice,4,3,https://t.co/ZZFTCuZHE4https://t.co/juEwQDipvu
17,Wanted: Suspect for Commercial Burglary in the 9th District [VIDEO] https://t.co/REgHiwTTxh https://t.co/aQHiq1PSrv,2022-11-17 16:29:39+00:00,PhillyPolice,7,5,https://t.co/REgHiwTTxhhttps://t.co/aQHiq1PSrv
18,Wanted: Suspect for Robbery in the 17th District [VIDEO] https://t.co/7dmLsCZ0Yi https://t.co/zYBEaogKc8,2022-11-16 18:41:54+00:00,PhillyPolice,4,7,https://t.co/7dmLsCZ0Yihttps://t.co/zYBEaogKc8
19,Wanted: Suspects for Robbery in the 18th District [VIDEO] https://t.co/ZYkPCTCeRR https://t.co/ye6kAY0IBF,2022-11-16 12:08:43+00:00,PhillyPolice,4,8,https://t.co/ZYkPCTCeRRhttps://t.co/ye6kAY0IBF
20,Wanted: Suspect for Commercial Burglary in the 22nd District [VIDEO] https://t.co/4LeiNYCL2m https://t.co/7EPMlcWz9q,2022-11-16 11:50:33+00:00,PhillyPolice,3,3,https://t.co/4LeiNYCL2mhttps://t.co/7EPMlcWz9q
21,Wanted: Suspect for Commercial Robbery in the 25th District [VIDEO] https://t.co/nKNRMl0lTP https://t.co/Ln2nhjXUur,2022-11-16 11:27:41+00:00,PhillyPolice,13,8,https://t.co/nKNRMl0lTPhttps://t.co/Ln2nhjXUur
22,Wanted: Suspect for Commercial Burglary in the 6th District [VIDEO] https://t.co/VVTzgeyySM https://t.co/RjJiTRSTFO,2022-11-15 17:05:10+00:00,PhillyPolice,4,8,https://t.co/VVTzgeyySMhttps://t.co/RjJiTRSTFO
23,Wanted: Suspect for Shooting Incident in the 19th District [VIDEO] https://t.co/P4yijTxWH4 https://t.co/RXlErvO0gX,2022-11-14 12:03:31+00:00,PhillyPolice,12,11,https://t.co/P4yijTxWH4https://t.co/RXlErvO0gX
24,RT @PPD22Dist: Special shout-out to the wonderful ladies of Mother’s In Charge they surprised our officers with cake &amp; coffee this morning!…,2022-11-11 17:31:57+00:00,PhillyPolice,0,5,
25,Wanted: Suspects for Homicide in the 39th District [VIDEO] https://t.co/0C23MO01wQ https://t.co/seubtzp1Xf,2022-11-11 11:51:17+00:00,PhillyPolice,23,15,https://t.co/0C23MO01wQhttps://t.co/seubtzp1Xf
